neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights,amen_score
33,14,2,1,1.0,1.0,1.0,3,3284.0,2160.0,1,0.0,3,20
27,14,2,3,1.0,1.0,3.0,3,3284.0,0.0,1,2737.0,3,29
45,7,0,3,1.5,0.0,3.0,3,24961.0,6000.0,3,0.0,2,21
49,1,0,4,1.0,1.0,4.0,3,9525.0,2700.0,3,1600.0,1,29
51,1,2,1,1.0,1.0,1.0,3,4817.0,2000.0,1,0.0,2,25
28,14,2,2,1.0,1.0,1.0,3,7663.0,3000.0,1,2500.0,2,15
28,14,0,6,1.0,2.0,5.0,3,17954.0,6000.0,3,2000.0,2,27
47,16,0,2,1.0,1.0,2.0,3,29997.0,2000.0,1,3000.0,1,16
51,1,0,6,1.0,2.0,6.0,3,6897.0,2500.0,2,2200.0,3,24
46,14,0,6,1.0,1.0,2.0,3,15984.0,10000.0,2,2900.0,3,40
19,14,2,2,1.0,1.0,2.0,3,3503.0,2000.0,1,1500.0,2,24
45,7,0,6,1.5,1.0,6.0,3,35033.0,8000.0,6,0.0,2,21
42,1,0,3,1.0,1.0,3.0,3,9962.0,9000.0,2,2400.0,3,34
18,1,0,5,1.0,1.0,5.0,3,4160.0,4379.0,4,1642.0,3,27
27,14,2,2,1.0,1.0,1.0,3,4379.0,1095.0,1,3284.0,1,27
27,14,2,3,1.0,1.0,0.0,3,3503.0,1000.0,1,1200.0,1,37
19,1,2,8,2.0,3.0,8.0,3,22990.0,5000.0,1,0.0,3,18
42,14,2,2,1.5,1.0,1.0,3,7007.0,6980.0,1,1980.0,1,18
44,1,0,3,1.0,1.0,1.0,3,7773.0,3500.0,2,3000.0,2,30
49,14,0,6,1.0,3.0,6.0,3,24632.0,8758.0,4,5474.0,3,26
49,1,0,12,1.0,3.0,6.0,3,31967.0,6000.0,5,3500.0,2,32
49,1,0,8,1.0,2.0,3.0,3,16969.0,5000.0,3,4500.0,2,36
49,1,0,5,1.0,1.0,2.0,3,5036.0,4500.0,3,3000.0,3,30
47,16,0,2,1.0,1.0,2.0,3,29997.0,2000.0,1,3000.0,1,17
33,1,0,2,1.0,1.0,1.0,3,4598.0,5693.0,1,2190.0,3,15
44,14,2,2,1.5,1.0,2.0,3,7992.0,3500.0,1,2500.0,2,35
47,16,0,2,1.0,1.0,2.0,3,29997.0,2000.0,1,3000.0,1,17
47,16,0,2,1.0,1.0,4.0,3,29997.0,2000.0,1,3000.0,1,16
47,16,0,2,1.0,1.0,2.0,3,29997.0,2000.0,1,3000.0,1,17
25,14,0,5,1.0,2.0,2.0,3,7992.0,5000.0,3,2000.0,2,25
46,1,0,3,1.0,0.0,1.0,3,12042.0,8500.0,2,2000.0,3,28
41,14,0,6,1.5,3.0,5.0,3,14998.0,8500.0,6,0.0,2,31
20,14,2,2,2.0,1.0,2.0,3,2956.0,3000.0,2,0.0,3,16
45,1,0,4,1.0,2.0,4.0,3,13247.0,0.0,2,2200.0,2,24
49,14,2,2,1.0,1.0,0.0,3,4489.0,0.0,1,4000.0,1,38
43,1,0,6,1.0,2.0,3.0,3,21348.0,8758.0,3,3284.0,3,26
46,16,0,2,1.0,0.0,2.0,3,7554.0,4500.0,2,3000.0,1,18
44,14,2,3,1.0,1.0,2.0,3,4051.0,3000.0,2,2000.0,1,34
25,12,1,2,1.0,1.0,1.0,3,5036.0,1500.0,1,1500.0,1,23
34,24,2,3,2.0,1.0,2.0,3,6897.0,3500.0,1,3800.0,1,19
29,1,2,1,1.0,1.0,0.0,3,4489.0,3500.0,1,3000.0,1,24
51,16,0,5,1.0,1.0,5.0,3,14013.0,8000.0,3,2500.0,2,34
51,1,0,3,0.5,1.0,0.0,3,14013.0,7000.0,3,0.0,2,23
47,14,2,4,2.0,1.0,4.0,3,4051.0,1000.0,3,2000.0,1,36
25,12,1,2,1.0,1.0,1.0,3,2518.0,1500.0,1,1100.0,1,21
